title,author,price,year_bought,genre
What Should Danny Do? (The Power to Choose Series),Adir Levy,14,2020,Fiction
Grumpy Monkey,Suzanne Lang,7,2021,Fiction
Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,Workman Publishing,8,2020,Non Fiction
Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,Workman Publishing,8,2021,Non Fiction
Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,Jennie Allen,14,2020,Non Fiction
Human Body Activity Book for Kids: Hands-On Fun for Grades K-3,"Ph.D., Katie Stokes, M.Ed.,",5,2020,Non Fiction
Dog Man: Mothering Heights: A Graphic Novel (Dog Man #10): From the Creator of Captain Underpants (10),Dav Pilkey,7,2021,Fiction
The Big Book of Silly Jokes for Kids,Carole P. Roman,6,2020,Non Fiction
The Maid: A Novel,Nita Prose,17,2022,Fiction
Paint by Sticker Kids: Unicorns & Magic: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,Workman Publishing,7,2020,Non Fiction
November 9: A Novel,Colleen Hoover,13,2022,Fiction
Peril,Bob Woodward,15,2021,Non Fiction
Modern Comfort Food: A Barefoot Contessa Cookbook,Ina Garten,19,2020,Non Fiction
"The Real Anthony Fauci: Bill Gates, Big Pharma, and the Global War on Democracy and Public Health (Children’s Health Defense)",Robert F. Kennedy Jr.,20,2022,Non Fiction
"The Real Anthony Fauci: Bill Gates, Big Pharma, and the Global War on Democracy and Public Health (Children’s Health Defense)",Robert F. Kennedy Jr.,20,2021,Non Fiction
The Storyteller: Tales of Life and Music,Dave Grohl,18,2021,Non Fiction
The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,10,2021,Fiction
House of Sky and Breath (Crescent City),Sarah J. Maas,18,2022,Fiction
Big Shot Diary of a Wimpy Kid Book 16,Jeff Kinney,7,2021,Fiction
"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are (Self-Help Workbooks for Women)",Megan Logan MSW LCSW,10,2021,Non Fiction
Rand McNally 2022 Large Scale Road Atlas,Rand McNally,17,2022,Non Fiction
Llama Llama I Love You,Anna Dewdney,5,2022,Fiction
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,18,2022,Non Fiction
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,18,2021,Non Fiction
Little Blue Truck's Valentine,Alice Schertle,11,2022,Fiction
The 1619 Project: A New Origin Story,Nikole Hannah-Jones,23,2022,Non Fiction
How to Catch a Leprechaun,Adam Wallace,10,2022,Fiction
The Complete Maus: A Survivor's Tale (Pantheon Graphic Library),Art Spiegelman,32,2022,Fiction
My Little Golden Book About Betty White,Deborah Hopkinson,6,2022,Non Fiction
"Run, Rose, Run: A Novel",James Patterson,18,2022,Fiction
Red-Handed: How American Elites Get Rich Helping China Win,Peter Schweizer,18,2022,Non Fiction
The Great Reset: Joe Biden and the Rise of Twenty-First-Century Fascism,Glenn Beck,18,2022,Non Fiction
Call Us What We Carry: Poems,Amanda Gorman,14,2021,Fiction
Maus I: A Survivor's Tale: My Father Bleeds History,Art Spiegelman,14,2022,Fiction
Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail,Ray Dalio,21,2022,Non Fiction
Life Force: How New Breakthroughs in Precision Medicine Can Transform the Quality of Your Life & Those You Love,Tony Robbins,20,2022,Non Fiction
"The Whole Body Reset: Your Weight-Loss Plan for a Flat Belly, Optimum Health & a Body You'll Love at Midlife and Beyond",Stephen Perrine,20,2022,Non Fiction
