title,author,genre,editorial,country,language,orig_language,pages,date,price,genres_clasif
Trilogía IREMONGER 1: Los secretos de Heap House,"Carey, Edward",['Ficción moderna y contemporanea'],Blackie Books,España,Castellano,Inglés,384,04-10-2023,23.9,fiction
El retrato de casada,"O'Farrell, Maggie","['Italia', 'Irlanda', 'Ficción moderna y contemporanea']",Libros del Asteroide,España,Castellano,Inglés,400,13-03-2023,23.95,fiction
ERIK VOGLER 1: LOS CRÍMENES DEL REY BLANCO,"Oses García, Beatriz","['FICCIÓN E HISTORIAS REALES INFANTILES Y JUVENILES', 'España', 'Español / Castellano', 'Edad de interés: a partir de 12 años']",Grupo EDEBÉ,España,Castellano,Castellano,144,30-06-2014,12.0,fiction
Tan poca vida,"Yanagihara, Hanya",['Ficción moderna y contemporanea'],LUMEN,España,Castellano,Inglés,1008,15-09-2016,24.9,fiction
Testigo de un tiempo incierto,"Solana, Javier","['Política y Gobierno', 'Historia']",Espasa,España,Castellano,Castellano,224,25-10-2023,20.9,non-fiction
La red púrpura (La novia gitana 2),"Mola, Carmen",['Género policíaco y misterio'],DEBOLSILLO,España,Castellano,Castellano,432,17-06-2021,10.95,fiction
Cucú. Calabaza,"Arrhenius, Ingela P.","['Halloween', 'ARTÍCULOS DE ESCRITORIO INFANTILES Y VARIOS', 'Aprendizaje temprano/conceptos de aprendizaje temprano', 'Libros y paquetes interactivos y de actividades', 'Álbumes ilustrados', 'Para niños c. 0-2 años', 'Libros para bebés']",Timun Mas Infantil,España,Castellano,Inglés,10,27-09-2023,10.95,non-fiction
La veterinaria. Grandes sueños,"Lark, Sarah","['Sagas', 'Narrativa romántica histórica']",B,España,Castellano,Alemán,592,31-08-2023,22.9,fiction
Querido capullo,"Despentes, Virginie","['Español / Castellano', 'Francia', 'Ficción moderna y contemporanea']",Random House,España,Castellano,Francés,264,14-09-2023,21.9,fiction
Las reglas del ratoncito Pérez (Cuentos para contar entre dos),"Moreno, Eloy","['Edad de interés: a partir de 6 años', 'Cuentos tradicionales', 'Relatos de aventuras (infantil/juvenil)']",Nube de Tinta,España,Castellano,Castellano,48,07-09-2023,15.95,fiction
Las garras del águila: una novela de Lisbeth Salander (Serie Millennium),"Smirnoff, Karin","['Obra de misterio y suspense', 'Género policíaco y misterio', 'Ficción moderna y contemporanea']",Ediciones Destino,España,Castellano,Sueco,592,30-08-2023,22.9,fiction
Cómo vender una casa encantada,"Hendrix, Grady","['Ficción moderna y contemporanea', 'Ficción y temas afines', 'Cuentos de terror y fantasmas']",Minotauro,España,Castellano,Inglés,440,18-10-2023,19.95,fiction
Biografía del silencio,"d'Ors, Pablo",['Ficción moderna y contemporanea'],Galaxia Gutenberg,España,Castellano,Castellano,112,12-02-2020,12.95,fiction
Lunario 2024,"Gros, Michel","['Astrología', 'Jardinería', 'Agricultura orgánica', 'Horticultura', 'AGRICULTURA Y EXPLOTACIÓN AGROPECUARIA']",Artús Porta Manresa - Calendario Lunar,España,Castellano,Francés,130,20-07-2023,9.26,non-fiction
